List all the ‘Comedy’ movies released between 1986 and 2016?
select name,genre,year from movies where year>1986 and year<2016 and genre=Comedy;
                                        name                                         | genre  | year 
 Archangel                                                                           | Comedy | 1990
 Snatch                                                                              | Comedy | 2000
 Swept Away                                                                          | Comedy | 2002
 The Unbelievable Truth                                                              | Comedy | 1989
 Trust                                                                               | Comedy | 1990
 A Man Called Ove                                                                    | Comedy | 2015
 One Night at McCool's                                                               | Comedy | 2001
 Gummo                                                                               | Comedy | 1997
 Julien Donkey-Boy                                                                   | Comedy | 1999
 Groundhog Day                                                                       | Comedy | 1993
 Multiplicity                                                                        | Comedy | 1996
 Analyze This                                                                        | Comedy | 1999
 Bedazzled                                                                           | Comedy | 2000
 Analyze That                                                                        | Comedy | 2002
 Year One                                                                            | Comedy | 2009
 Can't Hardly Wait                                                                   | Comedy | 1998
 Josie and the Pussycats                                                             | Comedy | 2001
 House Arrest                                                                        | Comedy | 1996
 PCU                                                                                 | Comedy | 1994
 High School High                                                                    | Comedy | 1996
 Memories of Me                                                                      | Comedy | 1988
 Cop & Â½                                                                            | Comedy | 1993
 The Secret of My Success                                                            | Comedy | 1987
 Steel Magnolias                                                                     | Comedy | 1989
 My Blue Heaven                                                                      | Comedy | 1990
 Undercover Blues                                                                    | Comedy | 1993
 Boys on the Side                                                                    | Comedy | 1995
 Beautiful Thing                                                                     | Comedy | 1996
 The Big Green                                                                       | Comedy | 1995
 Cocktail                                                                            | Comedy | 2012
 Bloodhounds of Broadway                                                             | Comedy | 1989
 The Great Outdoors                                                                  | Comedy | 1988
 Article 99                                                                          | Comedy | 1992
 Getting Even with Dad                                                               | Comedy | 1994
 Grumpier Old Men                                                                    | Comedy | 1995
 The Replacements                                                                    | Comedy | 2000
 The Whole Ten Yards                                                                 | Comedy | 2004
 My Best Friend's Girl                                                               | Comedy | 2008
 Quick Change                                                                        | Comedy | 1990
 Larger Than Life                                                                    | Comedy | 1996
 The Dream Team                                                                      | Comedy | 1989
 My Girl                                                                             | Comedy | 1991
 My Girl 2                                                                           | Comedy | 1994
 Burglar                                                                             | Comedy | 1987
 Guarding Tess                                                                       | Comedy | 1994
 The First Wives Club                                                                | Comedy | 1996
 Blast from the Past                                                                 | Comedy | 1998
 Dudley Do-Right                                                                     | Comedy | 1999
 Hackers                                                                             | Comedy | 1995
 The Players Club                                                                    | Comedy | 1998
 My Twentieth Century                                                                | Comedy | 1989
 Jab We Met                                                                          | Comedy | 2007
 Night and the City                                                                  | Comedy | 1992
 Twins                                                                               | Comedy | 1988
 Dave                                                                                | Comedy | 1993
 Junior                                                                              | Comedy | 1994
 Fathers' Day                                                                        | Comedy | 1997
 Evolution                                                                           | Comedy | 2001
 My Super Ex-Girlfriend                                                              | Comedy | 2006
 No Strings Attached                                                                 | Comedy | 2011
 American Pie 2                                                                      | Comedy | 2001
 Say It Isn't So                                                                     | Comedy | 2001
 Zero Effect                                                                         | Comedy | 1998
 Orange County                                                                       | Comedy | 2002
 Walk Hard: the Dewey Cox Story                                                      | Comedy | 2007
 Bad Teacher                                                                         | Comedy | 2011
 Sex Tape                                                                            | Comedy | 2014
 Robot & Frank                                                                       | Comedy | 2012
 Heart Condition                                                                     | Comedy | 1990
 Still Breathing                                                                     | Comedy | 1997
 Who's That Girl                                                                     | Comedy | 1987
 Slither                                                                             | Comedy | 2006
 Slaves of New York                                                                  | Comedy | 1989
 The Divorce                                                                         | Comedy | 2003
 Broadcast News                                                                      | Comedy | 1987
 As Good as It Gets                                                                  | Comedy | 1997
 Spanglish                                                                           | Comedy | 2004
 How Do You Know                                                                     | Comedy | 2010
 Life with Mikey                                                                     | Comedy | 1993
 Kate & Leopold                                                                      | Comedy | 2001
 SLC Punk!                                                                           | Comedy | 1998
 Mr. Destiny                                                                         | Comedy | 1990
 Man of the House                                                                    | Comedy | 1995
 The Spectacular Now                                                                 | Comedy | 2013
 Elvira: Mistress of the Dark                                                        | Comedy | 1988
 The Pick-up Artist                                                                  | Comedy | 1987
 Two Girls and a Guy                                                                 | Comedy | 1997
 But I'm a Cheerleader                                                               | Comedy | 1999
 10 Years                                                                            | Comedy | 2011
 For a Good Time, Call...                                                            | Comedy | 2012
 The Gods Must Be Crazy II                                                           | Comedy | 1989
 A Shock to the System                                                               | Comedy | 1990
 Sweetie                                                                             | Comedy | 1989
 Holy Smoke                                                                          | Comedy | 1999
 Napoleon Dynamite                                                                   | Comedy | 2004
 Nacho Libre                                                                         | Comedy | 2006
 Bad Words                                                                           | Comedy | 2013
 Bio-Dome                                                                            | Comedy | 1996
 Disaster Movie                                                                      | Comedy | 2008
 Meet the Spartans                                                                   | Comedy | 2008
 Vampires Suck                                                                       | Comedy | 2010
 Pitch Perfect                                                                       | Comedy | 2012
 Sisters                                                                             | Comedy | 2015
 Thank You for Smoking                                                               | Comedy | 2005
 Juno                                                                                | Comedy | 2007
 Up in the Air                                                                       | Comedy | 2009
 Young Adult                                                                         | Comedy | 2011
 Men, Women & Children                                                               | Comedy | 2014
 Super Troopers                                                                      | Comedy | 2001
 Club Dread                                                                          | Comedy | 2004
 The Dukes of Hazzard                                                                | Comedy | 2005
 Beerfest                                                                            | Comedy | 2006
 Cyrus                                                                               | Comedy | 2010
 UHF                                                                                 | Comedy | 1989
 Mystery, Alaska                                                                     | Comedy | 1999
 Meet the Parents                                                                    | Comedy | 2000
 Meet the Fockers                                                                    | Comedy | 2004
 Dinner for Schmucks                                                                 | Comedy | 2010
 The Campaign                                                                        | Comedy | 2012
 My Dog Skip                                                                         | Comedy | 2000
 Secret Things                                                                       | Comedy | 2002
 LÃ©olo                                                                              | Comedy | 1992
 Demolition                                                                          | Comedy | 2015
 Les visiteurs                                                                       | Comedy | 1993
 Cyrano de Bergerac                                                                  | Comedy | 1990
 AmÃ©lie                                                                             | Comedy | 2001
 S.F.W.                                                                              | Comedy | 1994
 Love Stinks                                                                         | Comedy | 1999
 Booty Call                                                                          | Comedy | 1997
 Lost & Found                                                                        | Comedy | 1999
 EuroTrip                                                                            | Comedy | 2004
 Bad Grandpa                                                                         | Comedy | 2013
 What We Do in the Shadows                                                           | Comedy | 2014
 National Lampoon's Christmas Vacation                                               | Comedy | 1989
 Benny & Joon                                                                        | Comedy | 1993
 The Wedding Ringer                                                                  | Comedy | 2015
 Don Juan DeMarco                                                                    | Comedy | 1994
 Surrender                                                                           | Comedy | 1987
 The Marrying Man                                                                    | Comedy | 1991
 Austenland                                                                          | Comedy | 2013
 How High                                                                            | Comedy | 2001
 American Wedding                                                                    | Comedy | 2003
 Kicking & Screaming                                                                 | Comedy | 2005
 Our Idiot Brother                                                                   | Comedy | 2011
 Juwanna Mann                                                                        | Comedy | 2002
 Stick It                                                                            | Comedy | 2006
 Corrina, Corrina                                                                    | Comedy | 1994
 Love the Coopers                                                                    | Comedy | 2015
 Soul Plane                                                                          | Comedy | 2004
 Birthday Girl                                                                       | Comedy | 2001
 Clockwatchers                                                                       | Comedy | 1997
 Big Business                                                                        | Comedy | 1988
 Welcome Home, Roxy Carmichael                                                       | Comedy | 1990
 Mafia!                                                                              | Comedy | 1998
 Police Academy 4: Citizens on Patrol                                                | Comedy | 1987
 Trick                                                                               | Comedy | 1999
 She's Out of My League                                                              | Comedy | 2010
 Butter                                                                              | Comedy | 2011
 Mystery Train                                                                       | Comedy | 1989
 Night on Earth                                                                      | Comedy | 1991
 Coffee and Cigarettes                                                               | Comedy | 2003
 Broken Flowers                                                                      | Comedy | 2005
 Only Lovers Left Alive                                                              | Comedy | 2013
 Head Above Water                                                                    | Comedy | 1996
 Not of This Earth                                                                   | Comedy | 1988
 My Best Friend Is a Vampire                                                         | Comedy | 1987
 Satisfaction                                                                        | Comedy | 1988
 Crossing Delancey                                                                   | Comedy | 1988
 Loverboy                                                                            | Comedy | 1989
 Big Girls Don't Cry... They Get Even                                                | Comedy | 1991
 How to Make an American Quilt                                                       | Comedy | 1995
 The Dressmaker                                                                      | Comedy | 2015
 Home for the Holidays                                                               | Comedy | 1995
 The Foot Fist Way                                                                   | Comedy | 2006
 Observe and Report                                                                  | Comedy | 2009
 The 'Burbs                                                                          | Comedy | 1989
 Gremlins 2: The New Batch                                                           | Comedy | 1990
 Matinee                                                                             | Comedy | 1993
 Sleepover                                                                           | Comedy | 2004
 Sydney White                                                                        | Comedy | 2007
 Let It Ride                                                                         | Comedy | 1989
 Revenge of the Nerds II: Nerds in Paradise                                          | Comedy | 1987
 Coupe de Ville                                                                      | Comedy | 1990
 America's Sweethearts                                                               | Comedy | 2001
 Christmas with the Kranks                                                           | Comedy | 2004
 Raising Arizona                                                                     | Comedy | 1987
 Barton Fink                                                                         | Comedy | 1991
 The Hudsucker Proxy                                                                 | Comedy | 1994
 The Big Lebowski                                                                    | Comedy | 1998
 Intolerable Cruelty                                                                 | Comedy | 2003
 Not Another Teen Movie                                                              | Comedy | 2001
 Greenfingers                                                                        | Comedy | 2000
 The Love Punch                                                                      | Comedy | 2013
 The Lost Boys                                                                       | Comedy | 1987
 Cousins                                                                             | Comedy | 1989
 Flawless                                                                            | Comedy | 1999
 Second Sight                                                                        | Comedy | 1989
 My Big Fat Greek Wedding                                                            | Comedy | 2002
 Fat Albert                                                                          | Comedy | 2004
 Afternoon Delight                                                                   | Comedy | 2013
 Dirty Love                                                                          | Comedy | 2005
 Another Stakeout                                                                    | Comedy | 1993
 Hope and Glory                                                                      | Comedy | 1987
 Where the Heart Is                                                                  | Comedy | 1990
 The Tailor of Panama                                                                | Comedy | 2001
 Hedwig and the Angry Inch                                                           | Comedy | 2001
 Shortbus                                                                            | Comedy | 2006
 Begin Again                                                                         | Comedy | 2013
 Memoirs of an Invisible Man                                                         | Comedy | 1992
 Almost an Angel                                                                     | Comedy | 1990
 Intermission                                                                        | Comedy | 2003
 Sirens                                                                              | Comedy | 1994
 Brainscan                                                                           | Comedy | 1994
 Jury Duty                                                                           | Comedy | 1995
 A Night at the Roxbury                                                              | Comedy | 1998
 For Keeps?                                                                          | Comedy | 1988
 Piranha 3DD                                                                         | Comedy | 2012
 Along Came Polly                                                                    | Comedy | 2004
 I Love You, Man                                                                     | Comedy | 2009
 Tales from the Darkside: The Movie                                                  | Comedy | 1990
 2 Days in the Valley                                                                | Comedy | 1996
 The Answer Man                                                                      | Comedy | 2009
 Good Boy                                                                            | Comedy | 2003
 Planes, Trains & Automobiles                                                        | Comedy | 1987
 She's Having a Baby                                                                 | Comedy | 1988
 Uncle Buck                                                                          | Comedy | 1989
 Curly Sue                                                                           | Comedy | 1991
 Man's Best Friend                                                                   | Comedy | 1993
 Coming to America                                                                   | Comedy | 1988
 Oscar                                                                               | Comedy | 1991
 Shakespeare in Love                                                                 | Comedy | 1998
 The Best Exotic Marigold Hotel                                                      | Comedy | 2011
 The Second Best Exotic Marigold Hotel                                               | Comedy | 2015
 Mad Dog and Glory                                                                   | Comedy | 1993
 The Guard                                                                           | Comedy | 2011
 The Santa Clause                                                                    | Comedy | 1994
 Jungle 2 Jungle                                                                     | Comedy | 1997
 Joe Versus the Volcano                                                              | Comedy | 1990
 Joe's Apartment                                                                     | Comedy | 1996
 Ernest Goes to Camp                                                                 | Comedy | 1987
 Ernest Saves Christmas                                                              | Comedy | 1988
 Ernest Goes to Jail                                                                 | Comedy | 1990
 Ernest Scared Stupid                                                                | Comedy | 1991
 The Next Best Thing                                                                 | Comedy | 2000
 Drive Me Crazy                                                                      | Comedy | 1999
 Like Mike                                                                           | Comedy | 2002
 Romance & Cigarettes                                                                | Comedy | 2005
 Major League: Back to the Minors                                                    | Comedy | 1998
 Hairspray                                                                           | Comedy | 1988
 Cry-Baby                                                                            | Comedy | 1990
 Serial Mom                                                                          | Comedy | 1994
 Pecker                                                                              | Comedy | 1998
 Cecil B. Demented                                                                   | Comedy | 2000
 A Dirty Shame                                                                       | Comedy | 2004
 August: Osage County                                                                | Comedy | 2013
 Burnt                                                                               | Comedy | 2015
 Calendar Girl                                                                       | Comedy | 1993
 Malibu's Most Wanted                                                                | Comedy | 2003
 Big Momma's House 2                                                                 | Comedy | 2006
 Tune in Tomorrow...                                                                 | Comedy | 1990
 The Man Who Knew Too Little                                                         | Comedy | 1997
 Made                                                                                | Comedy | 2001
 American Reunion                                                                    | Comedy | 2012
 21 & Over                                                                           | Comedy | 2013
 Charlie Bartlett                                                                    | Comedy | 2007
 Filth                                                                               | Comedy | 2013
 While You Were Sleeping                                                             | Comedy | 1995
 The Kid                                                                             | Comedy | 2000
 Last Vegas                                                                          | Comedy | 2013
 Spun                                                                                | Comedy | 2002
 Little Miss Sunshine                                                                | Comedy | 2006
 Ruby Sparks                                                                         | Comedy | 2012
 Married to the Mob                                                                  | Comedy | 1988
 Ricki and the Flash                                                                 | Comedy | 2015
 Project X                                                                           | Comedy | 1987
 In the Land of Women                                                                | Comedy | 2007
 The First Time                                                                      | Comedy | 2012
 Black Sheep                                                                         | Comedy | 2006
 The Wackness                                                                        | Comedy | 2008
 50/50                                                                               | Comedy | 2011
 Warm Bodies                                                                         | Comedy | 2013
 The Night Before                                                                    | Comedy | 2015
 Nuns on the Run                                                                     | Comedy | 1990
 My Cousin Vinny                                                                     | Comedy | 1992
 The Distinguished Gentleman                                                         | Comedy | 1992
 Greedy                                                                              | Comedy | 1994
 Sgt. Bilko                                                                          | Comedy | 1996
 Trial and Error                                                                     | Comedy | 1997
 The Whole Nine Yards                                                                | Comedy | 2000
 The Fighting Temptations                                                            | Comedy | 2003
 Mystery Date                                                                        | Comedy | 1991
 Ed and His Dead Mother                                                              | Comedy | 1993
 Don Jon                                                                             | Comedy | 2013
 Stuck in Love.                                                                      | Comedy | 2012
 Blades of Glory                                                                     | Comedy | 2007
 The Switch                                                                          | Comedy | 2010
 Liberal Arts                                                                        | Comedy | 2012
 Much Ado About Nothing                                                              | Comedy | 2012
 The Lemon Sisters                                                                   | Comedy | 1989
 The 40-Year-Old Virgin                                                              | Comedy | 2005
 Knocked Up                                                                          | Comedy | 2007
 Funny People                                                                        | Comedy | 2009
 This Is 40                                                                          | Comedy | 2012
 Trainwreck                                                                          | Comedy | 2015
 Kinky Boots                                                                         | Comedy | 2005
 The Tempest                                                                         | Comedy | 2010
 Earth Girls Are Easy                                                                | Comedy | 1988
 Human Traffic                                                                       | Comedy | 1999
 Dear White People                                                                   | Comedy | 2014
 The Big Wedding                                                                     | Comedy | 2013
 Kuch Kuch Hota Hai                                                                  | Comedy | 1998
 Chungking Express                                                                   | Comedy | 1994
 Jennifer's Body                                                                     | Comedy | 2009
 As It Is in Heaven                                                                  | Comedy | 2004
 Scary Movie                                                                         | Comedy | 2000
 Scary Movie 2                                                                       | Comedy | 2001
 White Chicks                                                                        | Comedy | 2004
 Little Man                                                                          | Comedy | 2006
 The Singing Detective                                                               | Comedy | 2003
 Kids in the Hall: Brain Candy                                                       | Comedy | 1996
 Mickey Blue Eyes                                                                    | Comedy | 1999
 He Said, She Said                                                                   | Comedy | 1991
 The Beautician and the Beast                                                        | Comedy | 1997
 The Sisterhood of the Traveling Pants                                               | Comedy | 2005
 License to Wed                                                                      | Comedy | 2007
 He's Just Not That Into You                                                         | Comedy | 2009
 Riff-Raff                                                                           | Comedy | 1991
 The Angels' Share                                                                   | Comedy | 2012
 The Lair of the White Worm                                                          | Comedy | 1988
 Delivery Man                                                                        | Comedy | 2013
 Unfinished Business                                                                 | Comedy | 2015
 Return of the Living Dead II                                                        | Comedy | 1988
 Peter's Friends                                                                     | Comedy | 1992
 Much Ado About Nothing                                                              | Comedy | 1993
 Short Circuit 2                                                                     | Comedy | 1988
 Hocus Pocus                                                                         | Comedy | 1993
 High School Musical 3: Senior Year                                                  | Comedy | 2008
 Semi-Pro                                                                            | Comedy | 2008
 Twin Town                                                                           | Comedy | 1997
 Strictly Business                                                                   | Comedy | 1991
 Enchanted                                                                           | Comedy | 2007
 How Stella Got Her Groove Back                                                      | Comedy | 1998
 Guess Who                                                                           | Comedy | 2005
 Clerks                                                                              | Comedy | 1994
 Mallrats                                                                            | Comedy | 1995
 Chasing Amy                                                                         | Comedy | 1997
 Jay and Silent Bob Strike Back                                                      | Comedy | 2001
 Jersey Girl                                                                         | Comedy | 2004
 Clerks II                                                                           | Comedy | 2006
 Zack and Miri Make a Porno                                                          | Comedy | 2008
 Tusk                                                                                | Comedy | 2014
 Fame                                                                                | Comedy | 2009
 Night of the Demons                                                                 | Comedy | 1988
 Teaching Mrs. Tingle                                                                | Comedy | 1999
 Paper Man                                                                           | Comedy | 2009
 Texas Chainsaw Massacre: The Next Generation                                        | Comedy | 1994
 Waking Ned Devine                                                                   | Comedy | 1998
 Nanny McPhee                                                                        | Comedy | 2005
 What to Expect When You're Expecting                                                | Comedy | 2012
 Down to You                                                                         | Comedy | 2000
 Three Colors: White                                                                 | Comedy | 1994
 In a World...                                                                       | Comedy | 2013
 Mad Dog Time                                                                        | Comedy | 1996
 Masked and Anonymous                                                                | Comedy | 2003
 Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan | Comedy | 2006
 BrÃ¼no                                                                              | Comedy | 2009
 The Dictator                                                                        | Comedy | 2012
 Wicked Stepmother                                                                   | Comedy | 1989
 Sour Grapes                                                                         | Comedy | 1998
 Once Around                                                                         | Comedy | 1991
 Something to Talk About                                                             | Comedy | 1995
 Salmon Fishing in the Yemen                                                         | Comedy | 2011
 The Hundred-Foot Journey                                                            | Comedy | 2014
 Hunk                                                                                | Comedy | 1987
 Son of the Mask                                                                     | Comedy | 2005
 I Love You to Death                                                                 | Comedy | 1990
 French Kiss                                                                         | Comedy | 1995
 Mumford                                                                             | Comedy | 1999
 Staying Together                                                                    | Comedy | 1989
 The Giant Mechanical Man                                                            | Comedy | 2012
 Celeste & Jesse Forever                                                             | Comedy | 2012
 Frank                                                                               | Comedy | 2014
 Three Men and a Baby                                                                | Comedy | 1987
 Funny About Love                                                                    | Comedy | 1990
 Holy Matrimony                                                                      | Comedy | 1994
 Tokyo!                                                                              | Comedy | 2008
 Encino Man                                                                          | Comedy | 1992
 Flubber                                                                             | Comedy | 1997
 Now and Then                                                                        | Comedy | 1995
 Bachelorette                                                                        | Comedy | 2012
 Sleeping with Other People                                                          | Comedy | 2015
 Shirley Valentine                                                                   | Comedy | 1989
 Stepping Out                                                                        | Comedy | 1991
 Everything Is Illuminated                                                           | Comedy | 2005
 Chasing Papi                                                                        | Comedy | 2003
 How to Be a Player                                                                  | Comedy | 1997
 LOL                                                                                 | Comedy | 2012
 The Kids Are All Right                                                              | Comedy | 2010
 Manny & Lo                                                                          | Comedy | 1996
 Committed                                                                           | Comedy | 2000
 Terror Firmer                                                                       | Comedy | 1999
 The Meddler                                                                         | Comedy | 2015
 May Fools                                                                           | Comedy | 1990
 Angel-A                                                                             | Comedy | 2005
 The Family                                                                          | Comedy | 2013
 May                                                                                 | Comedy | 2002
 La CiÃ©naga                                                                         | Comedy | 2001
 Born Yesterday                                                                      | Comedy | 1993
 Show Me Love                                                                        | Comedy | 1998
 Tillsammans                                                                         | Comedy | 2000
 The Animal                                                                          | Comedy | 2001
 The Girl Next Door                                                                  | Comedy | 2004
 Something Borrowed                                                                  | Comedy | 2011
 Back to the Beach                                                                   | Comedy | 1987
 Your Sister's Sister                                                                | Comedy | 2011
 Laggies                                                                             | Comedy | 2014
 Wide Awake                                                                          | Comedy | 1998
 The To Do List                                                                      | Comedy | 2013
 The Best Man                                                                        | Comedy | 1999
 Roll Bounce                                                                         | Comedy | 2005
 Welcome Home, Roscoe Jenkins                                                        | Comedy | 2008
 Scary Movie V                                                                       | Comedy | 2013
 Out Cold                                                                            | Comedy | 1989
 The Boyfriend School                                                                | Comedy | 1990
 Henry's Crime                                                                       | Comedy | 2010
 Dr. Giggles                                                                         | Comedy | 1992
 Delicatessen                                                                        | Comedy | 1991
 Stranger Than Fiction                                                               | Comedy | 2006
 Two Weeks Notice                                                                    | Comedy | 2002
 Music and Lyrics                                                                    | Comedy | 2007
 Did You Hear About the Morgans?                                                     | Comedy | 2009
 Dream a Little Dream                                                                | Comedy | 1989
 500 Days of Summer                                                                  | Comedy | 2009
 Summer Storm                                                                        | Comedy | 2004
 The Love Guru                                                                       | Comedy | 2008
 Chaos Theory                                                                        | Comedy | 2008
 Friday After Next                                                                   | Comedy | 2002
 The Incredibly True Adventure of Two Girls in Love                                  | Comedy | 1995
 Tortilla Soup                                                                       | Comedy | 2001
 The Diary of a Teenage Girl                                                         | Comedy | 2015
 Two Can Play That Game                                                              | Comedy | 2001
 Good Luck Chuck                                                                     | Comedy | 2007
 Blame It on the Bellboy                                                             | Comedy | 1992
 Brassed Off                                                                         | Comedy | 1996
 Little Voice                                                                        | Comedy | 1998
 Popcorn                                                                             | Comedy | 1991
 Happy, Texas                                                                        | Comedy | 1999
 The Efficiency Expert                                                               | Comedy | 1991
 The MatchMaker                                                                      | Comedy | 1997
 Leprechaun                                                                          | Comedy | 1993
 Rumpelstiltskin                                                                     | Comedy | 1995
 Little Manhattan                                                                    | Comedy | 2005
 What's Your Number?                                                                 | Comedy | 2011
 Penelope                                                                            | Comedy | 2006
 Going All the Way                                                                   | Comedy | 1997
 A Cinderella Story                                                                  | Comedy | 2004
 The Perfect Man                                                                     | Comedy | 2005
 For the Boys                                                                        | Comedy | 1991
 Simon Birch                                                                         | Comedy | 1998
 When in Rome                                                                        | Comedy | 2010
 Simply Irresistible                                                                 | Comedy | 1999
 The House of Yes                                                                    | Comedy | 1997
 Head Over Heels                                                                     | Comedy | 2001
 Freaky Friday                                                                       | Comedy | 2003
 Mean Girls                                                                          | Comedy | 2004
 Just Like Heaven                                                                    | Comedy | 2005
 Ghosts of Girlfriends Past                                                          | Comedy | 2009
 Mr. Popper's Penguins                                                               | Comedy | 2011
 Antonia's Line                                                                      | Comedy | 1995
 Poolhall Junkies                                                                    | Comedy | 2002
 Jack the Bear                                                                       | Comedy | 1993
 Out to Sea                                                                          | Comedy | 1997
 The Prince and Me                                                                   | Comedy | 2004
 Gigli                                                                               | Comedy | 2003
 A Thin Line Between Love and Hate                                                   | Comedy | 1996
 In Bruges                                                                           | Comedy | 2008
 Seven Psychopaths                                                                   | Comedy | 2012
 American Psycho                                                                     | Comedy | 2000
 The Pallbearer                                                                      | Comedy | 1996
 Where the Heart Is                                                                  | Comedy | 2000
 Freeway                                                                             | Comedy | 1996
 *batteries not included                                                             | Comedy | 1987
 The Inkwell                                                                         | Comedy | 1994
 Another You                                                                         | Comedy | 1991
 Two Night Stand                                                                     | Comedy | 2014
 Life Stinks                                                                         | Comedy | 1991
 Dracula: Dead and Loving It                                                         | Comedy | 1995
 The Tall Guy                                                                        | Comedy | 1989
 Radioland Murders                                                                   | Comedy | 1994
 The Baby-Sitters Club                                                               | Comedy | 1995
 Walk Like a Man                                                                     | Comedy | 1987
 Fast Food                                                                           | Comedy | 1989
 Critical Condition                                                                  | Comedy | 1987
 Princess Caraboo                                                                    | Comedy | 1994
 Doc Hollywood                                                                       | Comedy | 1991
 Eulogy                                                                              | Comedy | 2004
 Outside Providence                                                                  | Comedy | 1999
 Eight Days a Week                                                                   | Comedy | 1997
 Hot to Trot                                                                         | Comedy | 1988
 Krampus                                                                             | Comedy | 2015
 Take Me Home Tonight                                                                | Comedy | 2011
 Goon                                                                                | Comedy | 2011
 What If                                                                             | Comedy | 2013
 Mannequin                                                                           | Comedy | 1987
 Some Girls                                                                          | Comedy | 1988
 Soapdish                                                                            | Comedy | 1991
 One Fine Day                                                                        | Comedy | 1996
 A Midsummer Night's Dream                                                           | Comedy | 1999
 Heathers                                                                            | Comedy | 1988
 Meet the Applegates                                                                 | Comedy | 1990
 Airheads                                                                            | Comedy | 1994
 The Truth About Cats & Dogs                                                         | Comedy | 1996
 My Giant                                                                            | Comedy | 1998
 40 Days and 40 Nights                                                               | Comedy | 2002
 Because I Said So                                                                   | Comedy | 2007
 The Santa Clause 2                                                                  | Comedy | 2002
 Tooth Fairy                                                                         | Comedy | 2010
 The Object of Beauty                                                                | Comedy | 1991
 Sex and Zen                                                                         | Comedy | 1991
 Baby Mama                                                                           | Comedy | 2008
 Canadian Bacon                                                                      | Comedy | 1995
 Drop Dead Gorgeous                                                                  | Comedy | 1999
 Sex and the City                                                                    | Comedy | 2008
 Sex and the City 2                                                                  | Comedy | 2010
 The Couch Trip                                                                      | Comedy | 1988
 Fletch Lives                                                                        | Comedy | 1989
 Cops and Robbersons                                                                 | Comedy | 1994
 The Scout                                                                           | Comedy | 1994
 A Simple Wish                                                                       | Comedy | 1997
 Disorderlies                                                                        | Comedy | 1987
 Hello, My Name Is Doris                                                             | Comedy | 2015
 A Haunted House                                                                     | Comedy | 2013
 A Haunted House 2                                                                   | Comedy | 2014
 Summer Catch                                                                        | Comedy | 2001
 The Nasty Girl                                                                      | Comedy | 1990
 A Chorus of Disapproval                                                             | Comedy | 1989
 The Trip                                                                            | Comedy | 2010
 Human Nature                                                                        | Comedy | 2001
 Be Kind Rewind                                                                      | Comedy | 2008
 The Artist                                                                          | Comedy | 2011
 Cemetery Man                                                                        | Comedy | 1994
 Critters 2                                                                          | Comedy | 1988
 L.A. Story                                                                          | Comedy | 1991
 Chuck & Buck                                                                        | Comedy | 2000
 Youth in Revolt                                                                     | Comedy | 2009
 Alexander and the Terrible, Horrible, No Good, Very Bad Day                         | Comedy | 2014
 Deuce Bigalow: European Gigolo                                                      | Comedy | 2005
 Indian Summer                                                                       | Comedy | 1993
 The Upside of Anger                                                                 | Comedy | 2005
 Office Space                                                                        | Comedy | 1999
 Extract                                                                             | Comedy | 2009
 High Hopes                                                                          | Comedy | 1988
 Life Is Sweet                                                                       | Comedy | 1990
 Naked                                                                               | Comedy | 1993
 Secrets & Lies                                                                      | Comedy | 1996
 Happy-Go-Lucky                                                                      | Comedy | 2008
 Thumbsucker                                                                         | Comedy | 2005
 Beginners                                                                           | Comedy | 2010
 Deuce Bigalow: Male Gigolo                                                          | Comedy | 1999
 Four Weddings and a Funeral                                                         | Comedy | 1994
 An Awfully Big Adventure                                                            | Comedy | 1995
 Pushing Tin                                                                         | Comedy | 1999
 Working Girl                                                                        | Comedy | 1988
 Biloxi Blues                                                                        | Comedy | 1988
 Postcards from the Edge                                                             | Comedy | 1990
 The Birdcage                                                                        | Comedy | 1996
 Primary Colors                                                                      | Comedy | 1998
 What Planet Are You From?                                                           | Comedy | 2000
 Monsoon Wedding                                                                     | Comedy | 2001
 Me and You and Everyone We Know                                                     | Comedy | 2005
 Boat Trip                                                                           | Comedy | 2002
 Pure Luck                                                                           | Comedy | 1991
 What Women Want                                                                     | Comedy | 2000
 Something's Gotta Give                                                              | Comedy | 2003
 The Holiday                                                                         | Comedy | 2006
 It's Complicated                                                                    | Comedy | 2009
 The Intern                                                                          | Comedy | 2015
 True Love                                                                           | Comedy | 1989
 Dogfight                                                                            | Comedy | 1991
 Going the Distance                                                                  | Comedy | 2010
 The Way Way Back                                                                    | Comedy | 2013
 The Goods: Live Hard, Sell Hard                                                     | Comedy | 2009
 Ringmaster                                                                          | Comedy | 1998
 High Spirits                                                                        | Comedy | 1988
 We're No Angels                                                                     | Comedy | 1989
 Breakfast on Pluto                                                                  | Comedy | 2005
 In the Company of Men                                                               | Comedy | 1997
 Your Friends and Neighbors                                                          | Comedy | 1998
 Nurse Betty                                                                         | Comedy | 2000
 The Shape of Things                                                                 | Comedy | 2003
 Death at a Funeral                                                                  | Comedy | 2010
 Keeping Mum                                                                         | Comedy | 2005
 The Object of My Affection                                                          | Comedy | 1998
 Forgetting Sarah Marshall                                                           | Comedy | 2008
 Get Him to the Greek                                                                | Comedy | 2010
 The Five-Year Engagement                                                            | Comedy | 2012
 Neighbors                                                                           | Comedy | 2014
 Grandma's Boy                                                                       | Comedy | 2006
 The Other Woman                                                                     | Comedy | 2014
 Tap                                                                                 | Comedy | 1989
